price,carat,depth,table,x,y,z,cut_numeric,color_numeric,clarity_numeric
14632,4.1,63.3,39,4.62,52.73,27.91,2,5,2
16978,4.51,63.8,41,5.67,53.85,28.57,4,5,3
18265,4.7,60.7,34,6.4,54.58,29.17,3,1,3
15119,4.11,62.6,38,4.54,52.77,27.94,4,4,1
12450,3.81,63.2,38,3.99,52.21,27.55,2,5,2
16912,4.49,59.8,38,5.5,53.64,28.66,4,3,5
17807,4.58,62.9,39,5.91,54.1,28.77,4,5,2
18400,4.78,62.6,38,6.86,54.98,29.36,4,5,3
14518,4.01,63.6,38,4.39,52.64,27.79,1,2,3
6940,3.18,62.9,40,2.84,51.12,26.87,3,1,2
18215,4.68,62.8,40,6.33,54.45,29.02,2,6,2
4752,3.51,61.5,37,3.4,51.54,27.28,3,4,3
17923,4.69,62.1,39,6.33,54.52,29.07,4,5,3
17080,4.48,61.6,41,5.54,53.65,28.58,4,2,6
9526,3.5,62.3,38,3.46,51.53,27.24,4,1,3
17507,4.51,62.3,37,5.65,53.75,28.61,3,5,2
12885,4.01,61.7,40,4.3,52.41,27.81,4,5,2
15233,3.93,63.1,36,4.23,52.44,27.71,2,4,1
14181,4.1,61.7,39,4.53,52.66,27.96,4,4,1
15273,4.29,60.5,39,4.95,53.06,28.28,4,6,2
14688,4.19,62.8,36,4.82,52.97,28.08,2,5,3
14470,4.11,64.8,41,4.62,52.83,27.85,1,5,4
17969,4.68,61.1,40,6.26,54.38,29.05,4,4,6
15463,4.01,63,38,4.39,52.58,27.81,4,5,0
1766,3.48,62.8,36,3.46,51.56,27.21,2,4,5
11320,3.74,60,34,3.71,51.91,27.54,3,2,3
13325,3.94,62.4,36,4.21,52.44,27.75,3,2,3
17958,4.7,61.1,39,6.36,54.48,29.11,4,5,6
14950,4.03,62.6,41,4.39,52.51,27.81,4,1,1
14314,3.73,61.6,38,3.78,51.97,27.52,4,3,0
14460,3.99,62.6,37,4.32,52.5,27.79,4,3,1
13939,3.99,63.4,38,4.32,52.54,27.75,2,2,2
18098,4.65,61.8,40,6.16,54.29,28.96,4,3,2
13860,4.18,61.9,39,4.71,52.85,28.06,4,3,6
17668,4.57,61.2,34,5.86,54.07,28.83,3,4,4
16918,4.28,58.2,36,4.75,52.99,28.34,3,0,2
12835,4,62.7,37,4.35,52.5,27.79,3,4,3
14703,4,59.3,36,4.24,52.32,27.92,2,0,3
16030,4.31,62.9,38,5.08,53.21,28.23,2,5,3
16852,4.51,61.4,34,5.6,53.87,28.68,3,2,7
14555,3.8,62.4,37,3.91,52.11,27.55,3,0,3
18050,4.59,62.5,38,5.98,54.09,28.81,4,2,3
17490,4.61,62.2,40,6.01,54.14,28.85,4,3,7
8293,3.72,60.9,37,3.73,51.93,27.54,3,4,4
16353,4.3,61.5,38,5,53.12,28.26,4,5,1
17983,4.7,61.6,41,6.37,54.5,29.1,4,6,5
17387,4.51,62.8,39,5.69,53.83,28.62,2,4,3
18034,4.7,62,39,6.36,54.5,29.08,4,3,6
17566,4.63,59.2,37,5.94,54.14,28.97,3,4,6
10809,3.79,62.2,39,3.91,52.03,27.54,4,2,5
18254,4.66,61.8,42,6.16,54.29,28.96,4,0,7
16001,4.31,60.8,35,5,53.19,28.32,3,5,4
18257,4.63,62.8,38,6.16,54.31,28.92,4,3,1
15693,4.27,61.3,38,4.92,53.05,28.23,4,1,5
11533,4,61.2,38,4.32,52.43,27.85,4,3,4
16423,4.3,61.2,37,4.97,53.11,28.26,4,3,2
11364,3.9,62.2,39,4.08,52.31,27.68,4,5,3
17215,4.45,62.5,39,5.5,53.62,28.51,4,6,2
18178,4.69,62,39,6.39,54.51,29.09,4,3,4
18034,4.65,61.2,39,6.14,54.28,28.98,4,5,3
6268,3.37,62.8,36,3.23,51.37,27.08,2,4,2
12519,3.83,62.3,39,3.98,52.17,27.59,4,1,3
17712,4.61,62.8,39,6.06,54.18,28.85,4,6,5
15951,4.31,60.2,35,4.99,53.08,28.32,2,6,2
17898,4.68,61,38,6.29,54.42,29.08,4,3,7
18013,4.68,62.2,39,6.31,54.45,29.04,4,4,5
8733,3.71,60.4,36,3.62,51.84,27.52,3,4,3
13987,3.97,61.7,40,4.24,52.36,27.78,4,1,2
17976,4.59,61.7,36,5.98,54.07,28.84,3,2,4
18116,4.7,63.1,38,6.44,54.58,29.08,1,3,5
3395,2.75,61.3,35,2.24,50.47,26.61,3,2,1
17923,4.69,62.6,37,6.34,54.54,29.06,3,5,3
17233,4.5,62.5,35,5.66,53.8,28.62,3,5,3
17809,4.31,66.3,32,5.16,53.47,28.14,0,1,0
15952,4.11,62.8,36,4.61,52.87,27.98,3,0,2
14255,4.09,62.2,40,4.53,52.63,27.92,4,2,3
17995,4.69,62.6,40,6.33,54.52,29.05,4,4,3
14727,4.09,62.4,35,4.49,52.69,27.91,3,6,1
17391,4.48,63.6,38,5.62,53.74,28.53,2,5,2
17059,4.43,62.3,38,5.41,53.54,28.47,4,2,4
18193,4.66,61.2,37,6.17,54.35,29.01,3,1,3
17842,4.58,62,38,5.92,54.05,28.8,4,5,3
17742,4.59,62.1,39,5.96,54.05,28.81,4,1,3
14486,4.1,62,39,4.55,52.68,27.95,4,2,2
17700,4.61,61.4,40,6.02,54.14,28.89,4,3,6
2437,2.99,65,40,2.8,51.06,26.67,0,6,2
16999,4.61,61.7,40,5.98,54.16,28.87,4,5,6
13344,4,64.1,39,4.45,52.55,27.75,2,5,2
17471,4.42,60.8,38,5.27,53.48,28.49,4,0,3
16123,4.29,63.5,40,5.04,53.16,28.17,1,4,3
17863,4.6,62.5,39,5.99,54.11,28.82,2,5,3
17854,4.6,62.6,40,5.96,54.16,28.82,3,4,2
17984,4.66,60.5,38,6.16,54.31,29.03,4,2,6
17524,4.44,61.6,39,5.41,53.54,28.51,4,4,2
18096,4.65,60,39,6.08,54.22,29,4,6,3
17867,4.31,64.3,33,5.15,53.41,28.23,0,3,0
17779,4.66,62.3,40,6.24,54.38,28.99,4,3,7
12819,4,65.4,39,4.56,52.67,27.74,1,5,3
17467,4.6,58.9,37,5.87,54.06,28.94,3,4,6
13076,4,58.3,36,4.15,52.29,27.95,1,6,2
17626,4.66,61.4,39,6.21,54.34,29.01,4,5,7
12425,3.79,62.3,38,3.9,52.01,27.52,4,2,1
17860,4.51,57.7,35,5.46,53.64,28.76,1,0,3
15502,4.3,62.1,39,5.03,53.15,28.24,4,6,3
17617,4.31,62.3,39,5.08,53.29,28.29,3,3,0
11548,3.94,61.9,40,4.19,52.33,27.74,4,3,3
17238,4.5,60.9,39,5.58,53.71,28.65,4,5,2
18095,4.71,61.9,40.9,6.43,54.57,29.13,4,4,5
12153,4,61.2,34,4.33,52.57,27.9,3,5,4
18016,4.58,61.6,39,5.92,54.04,28.82,4,6,2
17241,4.49,62.5,37,5.6,53.73,28.58,4,2,4
10000,4,61.6,37,4.3,52.48,27.84,3,6,4
14025,3.99,60.3,38,4.21,52.4,27.85,4,5,1
5249,3,59.2,35,2.43,50.63,26.89,3,1,1
13224,4,62.6,37,4.42,52.6,27.85,3,5,2
13106,3.91,59.5,36,4.04,52.13,27.79,3,4,2
17653,4.49,63.5,37,5.6,53.8,28.55,2,3,2
13057,3.97,59.6,36,4.15,52.34,27.88,3,5,2
15345,4.29,60.3,38,4.92,53.04,28.28,4,3,4
17046,4.45,63.1,38,5.52,53.71,28.51,2,6,2
13395,3.9,62.6,38,4.1,52.34,27.67,4,3,2
14280,3.97,61.9,37,4.2,52.41,27.77,3,6,1
18157,4.68,61.4,36,6.31,54.41,29.06,3,3,4
4048,3.27,62.4,38,3.06,51.26,27.02,4,4,2
10610,3.79,61.4,39,3.86,52,27.57,4,3,3
12424,4,63.3,37,4.39,52.52,27.77,1,5,3
2586,2.69,62.5,36,2.23,50.46,26.5,3,4,1
14615,4.42,60.9,38,5.34,53.47,28.5,4,6,7
14892,4.11,61.6,38,4.5,52.73,27.98,4,3,2
17080,4.42,61.6,38,5.33,53.46,28.46,4,6,2
4878,3.5,62.9,34,3.43,51.68,27.23,3,4,3
18113,4.71,62.3,39,6.47,54.6,29.13,4,6,3
18211,4.69,59.6,35,6.28,54.47,29.15,3,3,2
7626,3.72,60.7,38,3.66,51.85,27.51,4,4,4
16676,4.4,61,38,5.29,53.43,28.47,4,6,3
12129,3.62,62.1,38,3.52,51.82,27.36,3,1,2
18135,4.78,58.9,35,6.71,54.95,29.45,3,6,5
8747,3.75,62.7,37,3.81,52.04,27.48,3,4,4
8689,4.01,60.3,41,4.15,52.43,27.86,3,5,6
15451,4.15,62.6,37,4.73,52.84,28.02,3,4,2
16532,4.48,61.3,40,5.51,53.63,28.58,4,4,5
12674,3.71,61.1,37,3.76,51.88,27.52,2,4,1
18259,4.68,61.7,40,6.31,54.44,29.06,4,2,2
18297,4.71,62.9,39,6.5,54.59,29.11,2,5,2
18392,4.78,62.6,39,6.82,54.95,29.34,2,2,5
16844,4.43,59.9,36,5.32,53.43,28.54,4,4,4
18220,4.71,62.3,39,6.48,54.62,29.14,4,4,4
16475,4.23,63.5,38,4.95,53.04,28.1,2,1,2
16547,4.31,58.5,34,4.98,53.08,28.41,1,1,2
5033,2.91,63.3,38,2.54,50.82,26.65,2,2,1
17156,4.46,59.4,33,5.42,53.54,28.63,2,3,4
14081,3.99,59.8,37,4.19,52.31,27.87,4,2,1
16811,4.49,62.4,40,5.55,53.73,28.57,4,3,5
17810,4.47,61.2,35,5.48,53.74,28.61,3,4,1
17817,4.64,61.9,37,6.12,54.34,28.96,3,6,4
18100,4.68,61.2,39,6.28,54.41,29.06,4,4,4
13842,3.92,61.2,38,4.1,52.3,27.75,4,4,1
11986,3.96,61.6,39,4.22,52.34,27.77,4,3,3
11913,4.01,60.1,32,4.32,52.45,27.93,2,4,4
2107,3.5,61.9,37,3.44,51.54,27.26,2,4,5
18279,4.7,63.2,36,6.5,54.59,29.1,1,5,2
17917,4.66,60.7,34,6.16,54.36,29.03,3,3,4
17731,4.61,61.6,38,6.01,54.15,28.88,4,5,3
17585,4.46,62.4,41,5.49,53.61,28.51,4,0,6
17566,4.37,61.2,40,5.2,53.3,28.39,4,1,1
18175,4.69,60.6,37,6.27,54.46,29.1,3,2,3
14288,3.88,61,35,4.01,52.21,27.71,4,2,1
13839,3.95,61,37,4.17,52.29,27.78,3,2,2
10442,3.78,61.8,37,3.86,52.06,27.56,3,3,4
17216,4.48,62.5,39,5.55,53.72,28.56,3,3,3
14442,4.11,63.5,38,4.63,52.75,27.91,1,6,2
4658,3.5,62.5,37,3.52,51.57,27.25,2,4,3
17969,4.68,61.7,39,6.27,54.46,29.05,4,3,4
17917,4.66,61.4,41,6.16,54.36,29,4,4,3
16004,4.29,63.8,37,5.1,53.22,28.19,2,3,4
17854,4.6,61.8,37,5.98,54.15,28.86,3,4,2
18234,4.69,61.9,40,6.35,54.5,29.08,4,1,6
18188,4.7,60.9,38,6.35,54.46,29.11,4,1,7
11179,3.26,60.8,37,2.91,51.11,27.05,3,1,2
18345,4.77,63.4,38,6.83,54.95,29.31,2,5,6
8743,3.51,61.4,37,3.33,51.62,27.29,3,2,2
18218,4.71,62.3,36,6.47,54.6,29.13,2,3,4
15669,4.31,62.2,40,5.09,53.23,28.28,2,5,4
17017,4.31,60.3,37,4.95,53.14,28.32,3,4,1
18178,4.69,63.4,38,6.42,54.54,29.05,1,4,3
13503,4.01,63.2,36,4.45,52.5,27.79,2,6,2
16323,4.26,62.1,38,4.92,53.02,28.17,2,4,2
18136,4.68,61.4,42,6.24,54.35,29.02,4,2,6
15351,4.23,61.5,40,4.82,52.93,28.14,2,3,4
17969,4.68,62.4,35,6.32,54.51,29.05,3,2,5
8856,2.95,58.7,34,2.41,50.59,26.92,3,4,0
18328,4.71,60.3,38,6.35,54.54,29.16,4,5,0
13945,3.73,63.4,36,3.9,52.01,27.45,1,0,2
13909,4.11,63.6,37,4.63,52.8,27.92,1,3,5
16860,4.45,62.8,38,5.49,53.61,28.49,2,6,3
16700,4.3,59.7,35,4.95,53.06,28.33,2,6,1
12817,4.01,60.6,36,4.32,52.42,27.89,3,3,4
12153,4,58.5,36,4.08,52.3,27.92,3,3,5
299,3.01,61.8,34,2.74,50.81,26.83,2,3,2
17693,4.55,61.1,40,5.77,53.89,28.75,4,2,2
16939,4.43,62,38,5.42,53.55,28.49,4,3,4
17644,4.59,60.8,35,5.9,54.03,28.85,3,6,4
5451,3.51,63,36,3.5,51.6,27.22,2,6,3
18198,4.7,62.1,42,6.4,54.51,29.09,4,4,3
13735,3.83,62.8,39,4,52.19,27.58,3,1,2
17900,4.6,62.5,38,6.02,54.21,28.86,3,3,2
18368,4.73,61.2,41,6.52,54.63,29.2,4,3,2
17100,4.42,61.8,37,5.39,53.5,28.48,2,4,3
17169,4.28,62.8,37,4.97,53.19,28.2,3,0,3
17707,4.66,60.7,38,6.17,54.37,29.04,4,5,6
15872,4.29,61,39,4.9,53.11,28.25,4,5,2
17911,4.61,62.9,40,6.02,54.17,28.83,2,5,3
15458,4.31,62.5,36,5.05,53.26,28.26,3,6,4
11646,4.01,63,39,4.37,52.5,27.78,2,3,5
17614,4.48,58.5,35,5.37,53.57,28.67,3,1,3
14178,3.99,62,36,4.31,52.5,27.82,4,5,1
16312,4.41,64.2,40,5.43,53.56,28.38,1,5,5
17056,4.49,59.6,37,5.53,53.64,28.68,2,5,4
18051,4.7,62.3,39,6.4,54.53,29.09,4,3,6
11583,4,59.3,37,4.21,52.41,27.94,3,5,3
14916,4.3,57.9,34,4.86,52.94,28.37,2,5,6
2373,2.73,62.7,38,2.31,50.54,26.54,4,0,3
17913,4.6,63.3,39,6.03,54.16,28.81,2,5,3
18148,4.71,61.7,39,6.45,54.63,29.16,3,5,2
18116,4.7,62.7,38,6.43,54.57,29.09,4,3,5
17792,4.63,60.7,40,6.03,54.16,28.93,2,3,4
18275,4.76,62.8,39,6.74,54.87,29.28,2,6,5
12263,3.98,62.4,42,4.29,52.39,27.75,4,2,5
13438,4,66,38,4.45,52.68,27.67,0,6,2
15984,4.3,59.2,37,4.87,53.08,28.34,3,4,4
16329,4.3,63.3,39,5.07,53.26,28.22,2,3,4
17788,4.61,61.8,39,5.96,54.16,28.86,4,2,4
15800,4.28,61.3,39,4.96,53.06,28.24,2,4,2
17383,4.48,61.2,30,5.58,53.63,28.61,1,2,7
12837,3.81,62.1,35,3.96,52.18,27.61,2,1,3
16018,4.28,62.5,38,4.99,53.2,28.22,3,4,3
10713,3.49,62.4,36,3.43,51.54,27.22,3,0,4
17709,4.68,62.1,37,6.31,54.5,29.06,3,3,6
16172,4.29,61.9,40.9,5.01,53.07,28.23,4,4,1
18100,4.68,61.3,40,6.28,54.42,29.06,4,5,3
14694,4,64.9,39,4.41,52.65,27.72,0,2,1
15549,4.11,62.2,30,4.61,52.82,28,1,5,2
13511,3.99,62.5,35,4.31,52.52,27.8,3,2,3
17858,4.68,59.5,35,6.19,54.38,29.1,3,3,5
14442,4.11,62.7,37,4.65,52.75,27.96,3,6,2
18125,4.7,63.1,37,6.39,54.6,29.07,2,3,3
13962,3.94,62.6,34,4.32,52.41,27.76,2,6,1
16427,4.25,62.6,37,4.98,53.06,28.17,2,2,2
16849,4.5,61.2,40,5.56,53.75,28.64,4,3,5
9254,3.5,62.4,38,3.44,51.56,27.23,4,2,2
9352,3.5,59.9,37,3.21,51.44,27.31,3,4,1
18429,4.71,63.4,40,6.49,54.6,29.09,1,0,4
17820,4.67,61.8,40,6.28,54.39,29.03,4,4,5
14059,3.94,62.1,39,4.13,52.37,27.72,4,1,3
17895,4.68,61.1,39,6.26,54.45,29.07,4,5,3
18215,4.65,62.4,37,6.16,54.34,28.95,3,3,1
16117,4.15,63,42,4.64,52.84,27.97,4,1,3
7677,3.34,59.4,34,3.01,51.12,27.19,2,2,2
13914,4,64.1,35,4.44,52.63,27.77,1,6,2
1407,2.87,62.3,37,2.52,50.74,26.7,3,1,3
17805,4.57,61.1,33,5.76,53.98,28.77,3,4,3
18248,4.76,61.8,37,6.69,54.83,29.29,2,4,5
16605,4.31,63.9,37,5.17,53.39,28.26,1,3,2
18009,4.69,61.8,40,6.34,54.47,29.07,4,3,6
17905,4.63,59.7,33,6.06,54.24,29.01,3,3,3
14563,4,60.8,34,4.29,52.4,27.86,2,6,1
15750,4.22,58.5,34,4.71,52.82,28.26,2,4,2
18107,4.69,61,41,6.32,54.46,29.1,4,4,4
16616,4.39,61.1,40,5.22,53.33,28.41,4,1,6
1223,3.01,63.3,36,2.78,50.87,26.74,1,2,2
5636,3.38,59.8,39,3.17,51.26,27.25,1,4,2
17616,4.44,63.3,39,5.46,53.66,28.47,2,0,3
17497,4.55,62.7,38,5.85,53.97,28.72,4,6,3
16781,4.46,62,40,5.49,53.63,28.54,4,3,6
13924,4,63.8,36,4.45,52.58,27.78,1,4,2
16662,4.39,60.1,37,5.22,53.36,28.48,2,3,4
14967,4,64.7,37,4.6,52.67,27.8,0,3,1
16072,3.99,64.3,32,4.46,52.67,27.78,1,2,0
15295,4.28,61.4,39,4.96,53.09,28.24,4,6,3
13856,3.91,63.7,35,4.13,52.45,27.64,1,1,4
8771,3.93,62.1,40,4.17,52.3,27.71,4,4,5
12826,3.79,62.4,37,3.92,52.13,27.56,3,2,2
18179,4.66,62.1,37,6.23,54.36,28.99,3,6,2
17878,4.61,62.5,36,6.03,54.23,28.87,3,4,2
17878,4.61,62,39,5.97,54.18,28.86,3,4,2
18297,4.71,61.3,37,6.45,54.58,29.16,3,2,4
14872,3.89,63.7,34,4.2,52.4,27.65,1,0,2
17923,4.69,61.9,39,6.34,54.55,29.09,4,5,3
18398,4.78,60.3,29,6.83,54.95,29.43,1,6,6
18271,4.77,59.7,37,6.67,54.8,29.36,2,5,6
4938,2.75,61.1,38,2.29,50.5,26.65,3,2,1
18050,4.69,63,38,6.37,54.57,29.06,4,4,3
17616,4.58,62.2,37,5.96,54.07,28.81,3,3,6
14261,3.79,61.6,36,3.88,52.09,27.59,3,1,3
18353,4.74,63.1,38,6.67,54.79,29.22,2,5,3
14582,3.93,59.8,38,4.08,52.18,27.8,2,3,1
17018,4.4,62.6,35,5.4,53.51,28.44,2,4,3
12104,4,61,37,4.27,52.36,27.83,2,4,4
12535,4,61.7,37,4.44,52.56,27.9,1,4,3
11124,3.95,58.5,38,4.06,52.17,27.88,1,4,4
18096,4.51,65.2,39,5.79,54.01,28.59,0,3,0
12311,3.81,62.7,40,3.98,52.17,27.57,4,2,2
18089,4.7,61.2,40,6.39,54.52,29.13,4,6,3
17623,4.63,61.5,39,6.1,54.24,28.94,4,6,5
13907,3.77,62.7,39,3.85,52.05,27.49,4,3,2
15422,4.27,61.1,37,4.9,53.09,28.24,3,5,4
18157,4.68,61.8,36,6.35,54.45,29.07,3,3,4
15259,4.21,62.7,38,4.86,52.98,28.1,4,6,2
16442,4.3,63,36,5.05,53.28,28.24,3,4,2
17580,4.6,62.8,41,5.97,54.18,28.82,4,5,5
14611,3.9,61.5,36,4.13,52.34,27.75,3,2,1
17828,4.71,63.5,38,6.47,54.67,29.1,2,5,6
17899,4.7,61.7,39,6.4,54.52,29.11,4,3,7
15415,4.1,64.1,33,4.73,52.84,27.93,1,6,1
12470,4,60.7,32,4.34,52.52,27.92,2,3,4
17960,4.71,62.1,40,6.42,54.55,29.11,4,3,7
16517,4.41,62.2,39,5.38,53.46,28.44,4,5,4
11394,3.67,60.2,39,3.51,51.72,27.46,4,2,3
18116,4.73,61.6,39,6.54,54.67,29.21,2,4,5
18051,4.61,61.4,39,6.02,54.07,28.87,2,6,2
18244,4.68,62,35,6.36,54.47,29.07,2,5,2
9971,3.49,58.1,33,3.13,51.34,27.39,3,1,2
17653,4.62,60.4,36,5.99,54.18,28.94,3,3,6
16414,4.31,62.2,39,5.06,53.2,28.26,4,4,2
10280,3.74,60.9,38,3.72,51.93,27.54,4,3,4
14315,3.82,61.7,39,3.94,52.05,27.59,4,0,1
18279,4.7,61.6,41,6.35,54.49,29.09,4,3,3
17831,4.31,66.5,33,5.2,53.41,28.13,0,4,0
17528,4.6,61.2,33,5.96,54.08,28.86,2,6,5
16958,4.31,65.5,38,5.15,53.35,28.15,0,2,2
17007,4.42,61,38,5.31,53.44,28.48,4,6,2
13513,3.65,62.6,37,3.62,51.9,27.38,3,0,1
13911,3.99,59.5,33,4.18,52.38,27.91,3,6,1
2243,3.01,63.6,37,2.83,50.92,26.75,2,4,2
7202,3.49,61.4,37,3.3,51.6,27.25,3,2,4
1595,3.31,61.5,35,3.1,51.31,27.12,3,3,5
12217,4,62.9,36,4.38,52.6,27.82,3,5,3
14642,4.11,61.8,36,4.61,52.79,28.02,3,6,2
2100,2.9,61.9,38,2.46,50.68,26.69,4,1,4
15524,4.3,61.8,39,5.06,53.18,28.28,4,3,3
17397,4.41,62,36,5.33,53.53,28.46,3,5,1
5003,3.01,60.7,34,2.65,50.87,26.91,3,1,1
14151,4,63.6,38,4.37,52.57,27.76,1,3,2
14044,4,61.5,39,4.26,52.47,27.83,4,2,4
15916,4.29,62.6,39,5.04,53.17,28.22,4,5,2
17670,4.6,62.2,38,5.96,54.16,28.84,3,5,4
9893,3.5,62.9,37,3.41,51.69,27.23,3,0,5
10215,3.79,62.5,38,3.92,52.13,27.55,4,3,4
17953,4.55,61.3,39,5.78,53.88,28.74,4,5,1
14520,4.1,62.8,38,4.62,52.73,27.94,2,6,2
17960,4.71,62.3,39,6.45,54.58,29.12,4,3,7
18319,4.71,58.8,35,6.32,54.51,29.21,3,5,1
16115,3.92,62.3,33,4.11,52.33,27.69,3,1,1
17007,4.46,62,40,5.48,53.62,28.53,4,5,3
6205,2.98,63,39,2.7,50.91,26.75,4,3,2
16985,4.51,62,39,5.65,53.77,28.63,4,3,5
18240,4.78,61.6,38,6.78,54.91,29.35,2,4,5
16100,4.24,59.8,39,4.73,52.94,28.22,3,5,1
16210,4.31,62.8,37,5.12,53.22,28.25,2,3,4
2906,2.62,61.8,37,2.17,50.38,26.52,3,2,2
